"Begriff","Definition"
"Affordance","Aspekte eines Objektes, die verdeutlichen, wie das Objekt benutzt werden kann.
Anmerkung:
1.	Affordances und Selbstbeschreibungsfähigkeit sind Mittel, um interaktive Systeme intuitiv bedienbar zu machen..
Beispiele für Affordances:
1.	Ein Henkel einer Teetasse stellt eine offensichtliche Handlungsanweisung dar, sie zu halten. 
2.	Ein Button auf einer Webseite bietet die Handlungsanweisung, auf ihn zu klicken.
3.	Ein Firmenemblem in der oberen linken Ecke einer Webseite bietet eingeschränkte Handlungsanweisung, darauf zu klicken."
"Anforderung","Eine Bedingung oder Fähigkeit, die ein  interaktives System erfüllen oder besitzen muss, um einer Vereinbarung, einem Standard, einer Spezifikation oder anderen formal zugrunde gelegten Dokumenten zu genügen.
Anmerkungen:
1.	Eine Anforderung sollte eine festgelegte Bedingung haben, mit der sie validiert werden kann.
2.	Dieses Glossar definiert die folgenden Arten von Anforderungen:
a.	Interessenvertreteranforderung,
b.	Marktanforderung,
c.	Organisatorische Anforderung,
d.	Nutzungsanforderung.
3.	Dieses Glossar unterscheidet außerdem zwischen 
Qualitative Nutzungsanforderung, und Quantitative Nutzungsanforderung."
"Aufgabe","Aktivität die erforderlich ist, um ein Ziel zu erreichen.
Anmerkungen:
1.	Viele Aufgaben können in Teilaufgaben unterteilt werden.
2.	Viele Teilaufgaben führen zu Auswahlmöglichkeiten oder Eingaben des Benutzers während der Nutzung des interaktiven Systems. 
3.	Einige Teilaufgaben können in kleinere Teilaufgaben aufgeteilt werden.
Beispiele für Aufgaben: 
1.	„Ein Auto mieten“ ist eine Aufgabe. 
2.	„Eine Reservierung stornieren“ ist eine Aufgabe. 
3.	„Sich auf der Webseite einer Autoverleihfirma registrieren“ ist eine Teilaufgabe. Registrierung ist vom Gesichtspunkt des Benutzers kein Ziel sondern ein Ärgernis.
4.	„Sich einloggen“ ist eine Teilaufgabe. Einloggen ist vom Gesichtspunkt des Benutzers kein Ziel sondern ein Ärgernis.
5.	Die Eingabe des Benutzernamens und das Drücken der Tabulatortaste ist eine von vielen Teilaufgaben die erforderlich sind, um die Teilaufgabe ”Log-in” abzuschließen."
"Aufgaben­angemessenheit","Die Eigenschaft eines interaktives Systems den Benutzer zu unterstützen, seine Aufgabe zu erledigen, d. h., die Funktionalität und Dialog an die charakteristischen Eigenschaften der Aufgabe anzupassen, anstatt an die zur Aufgabenerledigung eingesetzten Technologie.
Anmerkung:
1.	Empfehlungen zu Befolgung des Dialogprinzips:
a.	Der Dialog sollte dem Benutzer solche Informationen anzeigen, die im Zusammenhang mit der erfolgreichen Erledigung der Aufgabe stehen.
b.	Der Dialog sollte dem Benutzer keine Informationen anzeigen, die nicht für die erfolgreiche Erledigung relevanter Aufgaben benötigt werden.
c.	Die Form der Eingabe und Ausgabe sollte der Aufgabe angepasst sein. Wenn für eine Aufgabe ganz bestimmte Eingabewerte typisch sind, sollten diese Werte dem Benutzer automatisch als voreingestellte Werte verfügbar sein.
d.	Die vom interaktiven System verlangten Dialogschritte sollten zum Arbeitsablauf passen, d. h. notwendige Dialogschritte sollten enthalten sein und unnötige Dialogschritte sollten vermieden werden.
2.	Aufgaben­angemessenheit ist ein Dialogprinzip."
"Aufgabenmodell","Eine Beschreibung der Teilaufgaben die erledigt werden müssen, um die Ziele des Benutzers zu erreichen.
Anmerkung:
1.	Ein Aufgabenmodell beschreibt die Logik einer Aufgabe an sich, während ein Szenario die Erledigung einer oder mehrerer Aufgaben durch eine Persona beschreibt."
"Barrierefreiheit","Die Attribute und Charakteristiken eines interaktiven Systems die Menschen mit eingeschränkter Sicht, eingeschränktem Hören, eingeschränkter Geschicklichkeit, eingeschränkter Kognition oder eingeschränkter physischer Mobilität ermöglichen sollen effektiv und effizient mit dem interaktiven System zu interagieren.
Anmerkungen:
1.	Standards und Richtlinien für Barrierefreiheit sind verfügbar und in manchen Unternehmen oder Ländern gesetzlich zu erfüllen
2.	Hilfsmittel zur Schaffung von Barrierefreiheit wie z.B. Screenreader können einem System hinzugefügt werden, um Menschen mit Behinderungen zu ermöglichen, das System zu nutzen"
"Befund","Siehe Usability-Befund"
"Benutzer","Person, die mit einem interaktiven System arbeitet oder Daten die vom System erzeugt werden benutzt.
Anmerkungen:
1.	„Benutzer“ werden unterteilt in
a.	Direkter Benutzer: Interagiert mit dem interaktiven System.
b.	Indirekter Benutzer: Benutzt Daten die vom interaktiven System erzeugt werden.
c.	Primärer Benutzer: Interagiert mit dem interaktiven System um Ziele die vom interaktiven System unterstützt werden zu erreichen.
d.	Sekundärer Benutzer: Interagiert mit dem interaktiven System um Unterstützung etc. zu geben.
2.	Interessenvertreter können Benutzer sein oder auch nicht. Sie werden nicht als Benutzer betrachtet wenn sie zwar durch das interaktive System beeinflusst werden, jedoch weder mit dem interaktiven System selbst interagieren noch das mit Hilfe des interaktiven Systems erzielte Arbeitsergebnis nutzen.
Beispiele von Interessenvertretern die keine Benutzer sind:
1.	Manager von Benutzern.
2.	Personen die von Lärm der von der Person die das interaktive System benutzt erzeugt wird betroffen sind.
3.	Marketingfachleute die von der Auswirkung der Ergebnisse auf die Markenbezeichnung betroffen sind."
"Benutzer­befragung","Eine Evaluierung bei der Benutzer subjektive Daten in einem Fragebogen angeben sollen, basierend auf ihren Erfahrungen bei der Benutzung eines interaktiven Systems. 
Anmerkung:
1	Benutzerbefragungen können verwendet werden, um die Zufriedenstellung mit einem interaktiven System zu evaluieren und um Informationen über den Nutzungskontext zu sammeln.
2. 	Bei korrekter Ausführung können Benutzerbefragungen einen höheren Grad an Sicherheit bei Evaluierungsergebnissen erzielen als jede andere qualitative Untersuchungsmethode."
"Benutzer­dokumentation","Für Benutzer geschriebene oder andere Anleitungen zu dem interaktiven System, wie es funktioniert, und wie man es bedient.
Anmerkung:
1.	Benutzer­dokumentation ist eine Form der Benutzerunterstützung."
"Benutzererlebnis","Wahrnehmungen und Reaktionen einer Person, die aus der tatsächlichen oder erwarteten Benutzung eines interaktiven Systems resultieren. 
Anmerkungen: 
1.	Benutzererlebnis schliesst Usability ein. Usability Kriterien können eingesetzt werden um Aspekte des Benutzererlebnisses zu evaluieren.
2.	Benutzererlebnis umfasst die Gefühle, Meinungen, Bevorzugungen, Auffassungen und Leistungen der Benutzer die bevor, während und nach der Benutzung des interaktiven Systems auftreten.
3.	Das Benutzererlebnis hängt ab	von Markenimage, Darstellung, Funktionalität, Systemleistung, interaktivem Verhalten und unterstützenden Fähigkeiten des interaktiven Systems, sowie vom Nutzungskontext.
Beispiele die den Unterschied zwischen Usability und User Experience veranschaulichen:
Wenn Blumen auf einer Website eines Blumengeschäftes zur Auslieferung bestellt werden:
1.	Aufgetauchte Usability-Probleme während des Checkouts beeinflussen sowohl das Benutzererlebnis als auch die Usability.
2.	Die Qualität der physisch gelieferten Blumen beeinflusst ausschließlich die User Experience, nicht die Usability.
3.	Die gemachte Erfahrung beim Besuch des physikalischen Geschäfts, beeinflusst die User Experience zukünftiger Besuche der Website. Sie hat keinen Einfluss auf die Usability.
Anmerkung zum Training:
1.	Zertifizierungsanwärter müssen den Unterschied zwischen Usability und Benutzererlebnis kennen."
"Benutzergruppe","Eine Gruppe von Benutzern mit denselben oder ähnlichen Personenmerkmalen und Nutzungskontext bezogen auf das interaktive System."
"Benutzer­gruppen­profil","Eine verallgemeinerte Beschreibung einer Benutzergruppe."
"Benutzer­unterstützung","Informationen um einem Benutzer bei der Interaktion mit einem interaktiven System zu helfen.
Anmerkungen:
1.	Benutzerunterstützung kann eine Beschreibung der Benutzeroberfläche selbst beinhalten, aber auch Informationen, wie der Benutzer am besten die Möglichkeiten des interaktiven Systems für die Erfüllung seiner Anforderungen einsetzen kann.
2. 	Benutzerunterstützung schließt alle Formen von Hilfestellung, die für den Benutzer zur Verfügung stehen, ein, z.B.:
a.	Benutzerdokumentation 
b.	Onlinehilfe
c.	Systeminitiierte Benutzerführung"
"Benutzer­zentrierte Gestaltung","Siehe Menschzentrierte Gestaltung."
"Benutzer­zentrierte Usability-Evaluierung","Usability-Evaluierung, die repräsentative Benutzer involviert, die bestimmte Aufgaben mit dem interaktiven System ausführen, um die Identifikation von Usability-Problemen oder die Messung von Effizienz, Effektivität und Zufriedenstellung zu ermöglichen.
Anmerkung:
1.	Siehe Usability-Test."
"Benutzungs­schnittstelle","Alle Bestandteile eines interaktiven Systems (Software oder Hardware), die Informationen und Steuerelemente zur Verfügung stellen, die für den Benutzer notwendig sind, um bestimmte Aufgaben mit dem interaktiven System zu erledigen."
"Beobachter","Eine Person, die Benutzer beobachtet, die eine Aufgabe diskutieren oder eine Aufgabe mittels eines interaktiven Systems ausführen.
Anmerkungen:
1.	Beobachter ist eine Rolle während einer Usability-Aktivität, wie z.B. Beobachtung, einer Usability-Testsitzung oder einer Fokusgruppe.
2.	Beobachter dürfen nicht aktiv in die Usability-Aktivität eingreifen. Sie können aber aktiv in die Analyse der Ergebnisse involviert sein."
"Beobachtung","Eine Technik für das Sammeln von Kontextinformationen zu den Erfordernissen des Nutzungskontexts. Während einer Beobachtung sieht der Beobachter dem Benutzer bei der Ausführung von Aufgaben am interaktiven System zu. 
Anmerkungen:
1.	Der Beobachter greift nicht ein, außer  es besteht gelegentlich die Notwendigkeit zu einer klärenden Frage.
2.	Wenn kein interaktives System benutzt wird, sollten die vorhandenen manuellen Abäufe beobachtet werden.
3.	Die Beobachtung sollte in einem möglichst natürlichen Kontext stattfinden, z. B. am Arbeitsplatz des Benutzers."
"Briefing","Die erste Aktivität in einem Interview oder Usability-Test, in dem dem Teilnehmer erklärt wird, warum das Interview oder der Usability-Test durchgeführt wird und was seine Rolle und sein Beitrag ist"
